mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
220.0,14.19939,15.93246327330991,220.0,10.34347,12.653305810225328,220.0,7.09185,10.55483951571405,220.0,4.87614,9.259241203862189,220.0,3.3798,8.479032229353235
210.0,16.24245,11.943781824805624,210.0,12.67428,8.683051493187053,210.0,9.99817,6.4785539346391685,210.0,8.12776,5.116181941062931,210.0,6.94798,4.301496695091659
200.0,17.53734,7.474336027975066,200.0,13.9404,4.2392642988463125,200.0,11.40816,1.9506347149486944,200.0,9.79674,0.5405816270187934,200.0,8.73205,-0.29610740263630536
190.0,18.19917,2.570553602474756,190.0,14.89001,-0.6336233876645055,190.0,12.55919,-2.9829654925879137,190.0,11.00532,-4.421898911779241,190.0,10.11327,-5.269275233165313
180.0,18.88978,-2.6969844403616294,180.0,15.40795,-5.8678149550483845,180.0,13.22103,-8.254240629965013,180.0,11.86858,-9.704790919708136,180.0,11.00532,-10.553617534276341
170.0,19.17754,-8.233997208511218,170.0,16.01224,-11.372323126537161,170.0,13.79653,-13.773069244893644,170.0,12.44409,-15.220443508086728,170.0,11.69593,-16.06419795772215
160.0,-59.37949,-13.926739093420297,160.0,-62.11317,-17.036866744529274,160.0,-64.58785,-19.43086254015601,160.0,-65.88275,-20.86333059227319,160.0,-66.63091,-21.698524013158497
150.0,-37.07851,-19.649697507286028,150.0,-39.58197,-22.739198288635276,150.0,-41.97034,-25.10766187908901,150.0,-43.12136,-26.516811468540567,150.0,-43.61054,-27.342990031032013
140.0,-29.68321,-25.274042966268855,140.0,-32.41688,-28.353197202694783,140.0,-34.43116,-30.680024633296036,140.0,-35.46708,-32.06070589451687,140.0,-35.92748,-32.88015448858827
130.0,-25.07913,-30.673497999150836,130.0,-27.72648,-33.754448913144635,130.0,-29.91341,-36.02641213949553,130.0,-30.92056,-37.376415715469605,130.0,-31.40974,-38.19360688842604
120.0,-21.74118,-35.72669865622826,120.0,-24.38852,-38.822418580524925,120.0,-26.31648,-41.02919343867379,120.0,-27.32362,-42.34872501018613,120.0,-27.72648,-43.16957972142767
110.0,-18.97873,-40.31790676414603,110.0,-21.79873,-43.441087088940684,110.0,-23.81301,-45.57514670308229,110.0,-24.73382,-46.866175457959386,110.0,-25.22301,-47.69721947963917
100.0,-16.99322,-44.338782604971755,100.0,-19.55424,-47.50075676996876,100.0,-21.45342,-49.55717611268054,100.0,-22.46056,-50.822742027318846,100.0,-22.7771,-51.670251100440154
90.0,-96.15455,-47.69322822293438,90.0,-99.60761,-50.90303360142865,90.0,-101.82332,-52.879250762587446,90.0,-103.23332,-54.122814650610216,90.0,-104.35555,-54.99204526587837
80.0,-66.42949,-50.30535652848888,80.0,-69.62357,-53.56903015750341,80.0,-71.58029,-55.46459790036231,80.0,-72.90397,-56.68950442998835,80.0,-73.85356,-57.58409894770374
70.0,-55.55235,-52.12798644242018,70.0,-59.00542,-55.448160960930025,70.0,-60.70317,-57.26450018499576,70.0,-61.85418,-58.4735941375606,70.0,-62.83255,-59.39521878386076
60.0,-76.41457,-53.148281803301,60.0,-80.29927,-56.52410661394751,60.0,-82.1409,-58.26425464803543,60.0,-83.666,-59.45965699664965,60.0,-85.04722,-60.40788808137367
50.0,-56.99114,-53.38908758891079,50.0,-60.78949,-56.816459936838,50.0,-62.3146,-58.48480374838525,50.0,-63.58072,-59.66783234973323,50.0,-64.78929,-60.64027016921213
40.0,-49.22176,-52.90644252100731,40.0,-52.81869,-56.3784978583726,40.0,-54.40134,-57.98049027388977,40.0,-55.60991,-59.15169858412354,40.0,-56.70338,-60.144264462473885
30.0,-61.50888,-51.78423198745822,30.0,-65.62378,-55.29201672943195,30.0,-67.1201,-56.833881571660626,30.0,-68.5301,-57.99318204378825,30.0,-69.91132,-59.000539106620764
20.0,-46.37298,-50.12698328725771,20.0,-50.17134,-53.66022231939167,20.0,-51.63889,-55.14865893633807,20.0,-52.84746,-56.29549661471394,20.0,-53.99848,-57.31153127376566
10.0,-41.02074,-48.05168667795923,10.0,-44.58891,-51.59955632996263,10.0,-45.97013,-53.04145536119095,10.0,-47.12114,-54.174998903429035,10.0,-48.15706,-55.19330350370923
0.0,-37.1936,-45.679302955570094,0.0,-40.73299,-49.23112474843354,0.0,-42.11421,-50.6333059296417,0.0,-43.20768,-51.75262594646074,0.0,-44.18605,-52.76692999872622
